-307.53	115.63	2.58	
-116.74	-41.38	4.60	
-111.93	-217.34	2.57	
183.33	12.79	4.35	
-377.03	-145.73	3.19	
339.29	-266.40	3.93	
-153.61	235.19	3.12	
350.34	-343.94	4.29	
-126.06	-151.78	3.94	
10.27	-90.08	2.25	
148.72	-320.94	2.97	
-139.57	344.38	2.35	
-27.15	64.98	2.84	
-334.91	-123.24	4.83	
-61.78	-146.29	3.15	
-24.47	-78.23	4.66	
-381.40	163.57	3.02	
254.35	-284.88	2.14	
189.80	249.07	3.52	
-178.68	-134.84	3.67	
379.83	-307.49	4.39	
271.20	-295.31	3.37	
-309.99	-234.27	2.19	
-243.00	-194.04	4.27	
-332.27	-203.51	3.87	
158.31	92.41	2.73	
64.19	364.18	3.56	
167.29	136.34	3.68	
-25.24	-342.21	3.01	
-150.01	-267.85	3.92	
-250.57	183.88	4.87	
-193.59	-157.93	3.07	
329.08	-281.14	3.73	
-79.72	196.66	2.62	
-360.39	3.83	3.80	
62.47	305.67	3.45	
-160.40	320.48	4.36	
-314.36	-33.78	2.64	
-302.82	-142.10	4.48	
310.72	353.95	2.73	
61.88	237.37	2.95	
346.72	75.51	2.42	
218.76	-332.69	2.54	
157.73	343.03	3.92	
153.86	238.88	3.01	
-373.46	371.47	2.22	
-100.46	-178.53	2.54	
263.99	269.04	3.46	
185.19	44.47	2.51	
-183.67	-119.15	2.91
