402.19	380.52	3.26	
-108.56	-220.38	2.04	
-232.61	-316.45	4.01	
322.19	-69.27	4.74	
-96.86	-58.06	3.40	
-311.16	-77.06	3.19	
-56.01	258.54	4.93	
231.79	-395.36	3.80	
269.22	-300.60	3.76	
-67.98	-394.88	4.93	
-394.43	-146.37	5.24	
0.20	-244.26	3.75	
105.44	328.54	2.24	
126.99	231.69	2.59	
-126.38	76.09	4.96	
-331.42	205.76	3.76	
39.50	-218.59	2.90	
75.41	375.90	4.43	
-354.74	-106.34	4.26	
397.33	-275.28	5.47	
-287.06	-241.82	5.39	
162.80	67.53	5.23	
383.14	-187.74	5.20	
-80.17	115.04	3.56	
29.48	112.22	4.67	
-124.72	-331.35	4.13	
-59.93	-299.33	2.82	
-67.41	157.58	4.90	
-312.10	-354.14	2.40	
412.07	-237.99	5.37	
215.02	-382.02	5.04	
9.86	-37.11	3.89	
-336.58	206.44	4.23	
172.00	277.76	2.71	
-284.48	-280.15	2.82	
-297.38	-367.98	3.04	
-312.66	253.43	4.90	
289.52	342.97	4.24	
292.27	146.91	4.19	
168.81	208.64	2.62	
-162.41	-397.49	4.86	
-85.82	27.76	3.68	
-397.90	-175.33	4.16	
29.39	-225.99	3.20	
-261.95	136.74	5.48	
6.97	-6.53	2.16	
-373.51	391.84	4.75	
-401.63	394.69	3.19	
-134.28	304.36	3.58	
350.66	293.25	3.58
