316.77	333.86	
8.30	-325.08	
-244.23	186.89	
18.46	-65.36	
274.12	-272.21	
-208.31	115.96	
5.20	218.73	
332.97	182.00	
-35.43	299.96	
-318.04	8.34	
-12.69	191.02	
94.58	-251.55	
-76.89	305.11	
47.83	-20.88	
-79.23	232.76	
-123.80	12.12	
249.90	157.66	
291.48	-104.80	
155.03	-251.89	
-228.19	120.45	
-5.70	-198.77	
-149.13	-325.23	
-62.13	-301.57	
-332.83	-261.19	
-219.64	-324.45	
-266.25	-154.79	
-260.39	265.98	
-299.12	-248.64	
-11.11	125.24	
-247.54	-148.08	
246.73	344.54	
78.09	169.47	
-223.31	103.36	
70.60	252.06	
-278.00	-67.94	
156.00	332.67	
338.89	338.33	
63.72	209.66	
-95.37	184.34	
-98.65	-238.65	
6.73	199.90	
-233.55	-275.06	
-325.68	167.69	
41.67	270.95	
331.43	-47.70	
161.50	55.08	
-121.97	168.16	
12.68	-54.20	
143.19	311.78	
164.39	276.89	
