230.00	-111.50	
-373.83	-174.77	
368.20	316.33	
-213.03	96.37	
-300.73	-276.43	
158.14	-322.55	
-298.47	-127.92	
280.14	-263.28	
-206.04	-205.59	
291.18	15.67	
-341.69	-254.20	
25.99	-309.58	
-242.76	250.30	
-30.66	58.10	
-273.35	-367.29	
-231.11	346.17	
14.57	-258.60	
378.67	115.36	
-174.41	-122.10	
-181.59	-189.57	
-121.53	-201.22	
-368.67	-192.05	
-229.88	-191.67	
139.30	-350.76	
-103.24	150.68	
-21.63	-190.05	
137.95	69.29	
-377.57	163.49	
-60.23	-183.93	
133.58	261.36	
344.11	114.38	
256.97	-352.16	
137.33	249.44	
-249.49	-303.03	
-122.37	219.61	
-180.86	196.33	
-47.29	102.73	
294.60	338.37	
-250.21	-371.81	
-267.38	-134.23	
